Date,Open,High,Low,Close,Volume,SPY R
17/01/2008,137.81,137.88,132.93,133.43,398404800,-0.025916192
18/01/2008,134.74,135.02,131.1,132.06,348561440,-0.010267556
22/01/2008,127.21,132.43,126,130.72,435925184,-0.010146903
23/01/2008,127.09,134.19,126.84,133.86,511912960,0.024020808
24/01/2008,134.48,135.46,133.31,134.99,259949232,0.008441655
25/01/2008,136.51,136.76,132.6,133.04,269603872,-0.014445514
28/01/2008,133.26,135.52,132.06,135.24,217934544,0.01653638
29/01/2008,136.1,136.45,134.88,135.91,168968784,0.004954156
30/01/2008,135.58,138.54,134.6,134.91,334861952,-0.00735781
31/01/2008,133.4,138.54,133.2,137.37,343680704,0.018234378
01/02/2008,137.94,139.61,137.52,139.58,206843680,0.016087938
04/02/2008,139.21,139.3,137.64,137.82,124694256,-0.012609256
05/02/2008,135.94,136.25,133.67,134.13,286882432,-0.026774053
06/02/2008,134.58,135.25,132.41,133.05,250792896,-0.00805189
07/02/2008,131.8,134.79,131.73,133.93,297541568,0.006614055
08/02/2008,133.09,134.22,132.1,133.07,221643472,-0.006421265
11/02/2008,133.1,134.23,132.04,133.75,188576224,0.005110092
12/02/2008,134.91,136.31,133.98,134.99,256654384,0.009271028
13/02/2008,136.01,137.1,135.14,136.37,181967776,0.010222979
14/02/2008,136.95,137,134.79,135.17,215207104,-0.008799589
15/02/2008,134.55,136.1,133.36,135.14,154110256,-0.000221943
19/02/2008,136.69,136.89,134.61,135.52,145190000,0.002811899
20/02/2008,133.99,137.6,133.76,135.92,220709392,0.002951594
21/02/2008,136.66,137.01,134.07,134.79,201051184,-0.008313714
22/02/2008,134.97,135.85,132.86,135.62,205490992,0.006157727
25/02/2008,135.54,137.65,134.78,137.33,190106976,0.01260876
26/02/2008,136.75,138.95,136.5,138.36,212420640,0.007500182
27/02/2008,137.56,139.14,137.41,138.22,168395792,-0.001011853
28/02/2008,137.24,137.96,136.55,136.87,170831040,-0.009767038
29/02/2008,135.6,137.02,132.78,133.82,252715120,-0.022283919
03/03/2008,133.14,133.81,132.24,133.5,195613600,-0.002391272
04/03/2008,132.23,133.4,130.99,132.99,282513056,-0.003820225
05/03/2008,133.41,134.77,132.34,133.83,270681312,0.006316264
06/03/2008,132.98,133.22,130.55,131.06,247912112,-0.0206979
07/03/2008,129.63,131.74,128.58,129.71,326434592,-0.010300626
10/03/2008,129.81,129.93,127.59,128,235683376,-0.013183255
11/03/2008,130.72,132.72,127.72,132.6,341875776,0.0359375
12/03/2008,132.73,133.77,131.16,131.36,229161104,-0.009351433
13/03/2008,129.61,132.64,128.6,131.65,351881376,0.002207674
14/03/2008,132.77,132.81,127.78,129.61,484687776,-0.015495632
17/03/2008,126.57,129.26,126.07,128.3,405311072,-0.010107245
18/03/2008,130.62,133.69,129.98,133.63,334416544,0.041543258
19/03/2008,134.14,134.65,130.04,130.32,345971552,-0.024769887
20/03/2008,130.05,132.91,129.26,132.08,245320640,0.013505218
24/03/2008,133.31,135.81,133.24,134.72,209110352,0.019987886
25/03/2008,134.86,135.55,133.77,134.85,192947168,0.000964964
26/03/2008,134.46,135.09,133.11,133.2,196934208,-0.012235818
27/03/2008,134.2,134.44,132.36,132.78,225153152,-0.003153153
28/03/2008,132.99,133.36,131.06,131.51,180918672,-0.009564693
31/03/2008,131.29,132.73,131.09,131.97,166626304,0.003497833
01/04/2008,133.71,136.84,133.51,136.61,254449360,0.035159506
02/04/2008,137.06,137.67,135.98,136.7,210876192,0.00065881
03/04/2008,135.94,137.44,135.71,137.04,175863440,0.002487198
04/04/2008,137.12,137.96,136.12,136.89,204453392,-0.001094571
07/04/2008,137.87,138.57,136.74,136.96,154381328,0.000511359
08/04/2008,136.19,137.16,135.95,136.82,148937264,-0.001022196
09/04/2008,136.61,136.8,134.89,135.83,195610560,-0.007235784
10/04/2008,135.39,136.67,134.9,136.02,192967840,0.001398807
11/04/2008,134.45,135.98,133.01,133.38,222973280,-0.01940891
14/04/2008,133.19,133.54,132.55,132.93,160521952,-0.003373819
15/04/2008,133.58,133.69,132.33,133.24,172389152,0.002332054
16/04/2008,134.54,136.93,134.4,136.85,189268816,0.027093966
17/04/2008,136.02,137.25,135.66,137.05,179707520,0.001461454
18/04/2008,138.94,139.56,138.26,138.48,218530592,0.010434148
21/04/2008,138.23,138.98,136.87,138.55,118587400,0.000505488
22/04/2008,138.19,138.37,136.64,137.94,162166080,-0.004402743
