Open,High,Low,Close,Volume,TLT R
91.93,91.93,90.84,91.37,2855876,-0.011788882
91.83,92.3,91.7,91.77,1802000,0.004377805
91.38,91.56,90.98,91.15,1985871,-0.00675602
90.54,90.66,90.14,90.34,3250685,-0.008886451
90.01,90.1,89.14,89.69,3302371,-0.007195041
90.13,90.44,90.06,90.28,2514796,0.006578214
89.98,90.64,89.62,90.3,3076305,0.000221533
90.06,91.41,89.81,90.95,2447647,0.007198228
91.39,91.39,89.9,90.14,2812991,-0.008905992
89.82,90.03,89.45,89.6,2632139,-0.005990681
90.44,91.09,90.21,90.76,3864702,0.012946429
90.48,91.39,90.19,90.76,1811960,0
90.65,90.71,89.7,90.17,1935233,-0.006500661
90.05,90.72,89.71,89.96,2265399,-0.002328934
89.56,89.64,88.82,89.06,4413091,-0.010004446
88.97,89.54,88.68,88.87,1983557,-0.002133393
89.11,89.18,88.62,88.89,1756717,0.000225048
89.15,89.27,88.59,89.07,1712113,0.002024975
89.29,89.97,89.09,89.82,2589981,0.008420344
89.52,89.75,89.03,89.29,1700494,-0.00590069
89.94,90.07,89.69,89.81,4580862,0.00582372
90.08,90.43,89.83,90,1594100,0.002115577
90.38,90.81,90.14,90.59,3118383,0.006555556
90.65,90.76,89.81,90.64,3251541,0.000551937
91,91.44,90.79,91.25,4052210,0.006729921
91.73,92.44,91.45,92.32,4144761,0.011726027
92.41,92.82,92.08,92.34,3742927,0.000216638
92.69,92.77,91.68,91.79,3805099,-0.005956249
91.96,92.38,91.87,92.27,2413627,0.005229328
92.07,93.15,91.58,92.49,3528393,0.002384307
92.5,93.14,92.42,93.09,2176516,0.006487188
92.94,93.64,92.92,93.5,1581965,0.00440434
93.33,93.76,92.94,93.49,2723502,-0.000106952
93.52,93.74,91.86,92.16,5467244,-0.01422612
92.38,93.26,92.29,92.97,4135305,0.008789063
93.07,93.43,92.7,92.94,4541397,-0.000322685
92.08,92.24,91.21,91.26,3435843,-0.018076178
91.26,91.61,90.56,90.79,5899839,-0.005150121
90.76,91.2,90.3,90.45,3475162,-0.003744906
90.45,90.9,90.25,90.8,3657163,0.003869541
90.64,90.76,90.03,90.35,2675178,-0.004955947
90.22,90.37,89.75,90.17,2871887,-0.001992252
90.35,91.25,90.35,91.05,2613219,0.009759343
90.55,90.84,90,90.14,3765217,-0.009994509
90.95,91.47,90.7,91.05,1275867,0.010095407
90.66,90.99,90.31,90.68,1349024,-0.004063701
90.09,91.29,90.03,90.77,1667461,0.000992501
91.72,92.05,91.27,91.67,3898642,0.00991517
90.97,91.56,90.83,91.54,1804729,-0.00141813
91.09,91.64,91.01,91.33,2029898,-0.002294079
91.35,91.6,90.62,90.65,2191151,-0.007445527
90.41,90.41,89.82,90.28,3139404,-0.004081633
90.63,91.9,90.43,91.75,2765517,0.016282676
91.89,92.08,91.54,92,1035331,0.002724796
91.78,91.78,90.6,91.12,3939322,-0.009565217
91.81,92.03,91.7,91.97,1314992,0.009328358
92.3,92.35,91.46,91.65,1940263,-0.003479395
92.26,92.6,92.07,92.24,2605243,0.006437534
92.67,93.2,92.57,93.04,1964807,0.008673027
93.08,93.54,92.96,93.41,1263123,0.003976784
93.44,93.53,92.89,93.05,1944609,-0.003853977
93.38,93.71,93.15,93.31,2499938,0.002794197
93.63,93.63,92.75,93.14,2266997,-0.001821884
93.11,93.17,92.64,93.08,1989912,-0.000644192
94.12,94.33,93.85,94.01,2028240,0.009991405
93.96,94.2,93.71,94.09,1270881,0.000850973
93.49,94.29,93.44,94.25,1555299,0.0017005
93.91,94.41,93.69,94.26,1886420,0.000106101
94.02,94.16,93.51,93.84,1739019,-0.004455761
92.98,94.41,92.84,94.37,2915981,0.005647911
94.27,94.89,94.26,94.77,2104925,0.004238635
