Date,SSO,UBT,UST,UGL
2/15/2017,41.91,36.47,55.72,37.78
2/16/2017,41.86,37.05,56.19,38.19
2/17/2017,41.95,37.15,56.5,37.95
2/21/2017,42.45,37.19,56.39,37.97
2/22/2017,42.4,37.23,56.57,38.08
2/23/2017,42.47,37.39,56.8,38.7
2/24/2017,42.55,38.33,57.38,39.08
2/27/2017,42.7,37.89,56.96,38.89
2/28/2017,42.48,38.17,56.89,38.74
03/01/2017,43.6,36.84,56.13,38.73
03/02/2017,43.12,36.38,55.77,37.88
03/03/2017,43.14,36.75,55.81,37.81
03/06/2017,42.88,36.43,55.79,37.24
03/07/2017,42.64,36.25,55.65,36.67
03/08/2017,42.45,35.81,55.23,36.24
03/09/2017,42.56,35.26,54.99,35.78
03/10/2017,42.83,35.5,55.34,35.95
3/13/2017,42.89,35.09,54.97,36.06
3/14/2017,42.58,35.36,55.2,35.63
3/15/2017,43.28,36.14,55.93,36.96
3/16/2017,43.14,35.92,55.78,37.25
3/17/2017,42.97,36.26,56.09,37.3
3/20/2017,42.86,36.68,56.32,37.77
3/21/2017,41.77,37.32,56.73,38.36
3/22/2017,41.92,37.33,56.9,38.56
3/23/2017,41.82,37.31,56.77,38.47
3/24/2017,41.77,37.59,56.82,38.54
3/27/2017,41.66,37.92,57.02,38.98
3/28/2017,42.26,37.36,56.73,38.64
3/29/2017,42.36,37.74,57.01,38.86
3/30/2017,42.59,37.27,56.76,38.3
3/31/2017,42.42,37.39,56.92,38.45
04/03/2017,42.27,38.1,57.48,38.82
04/04/2017,42.34,37.68,57.38,39
04/05/2017,42.07,37.83,57.57,38.98
04/06/2017,42.26,37.84,57.5,38.81
04/07/2017,42.19,37.53,57.16,38.9
04/10/2017,42.24,37.82,57.26,38.89
04/11/2017,42.14,38.63,57.82,40.01
04/12/2017,41.79,38.99,58.33,40.57
4/13/2017,41.26,39.38,58.4,40.95
4/17/2017,41.96,39.19,58.29,40.75
4/18/2017,41.68,40.13,58.97,41.09
4/19/2017,41.54,39.61,58.7,40.38
4/20/2017,42.19,39.37,58.43,40.49
4/21/2017,41.95,39.26,58.58,40.68
4/24/2017,42.84,38.96,58.18,40.15
4/25/2017,43.33,37.96,57.6,39.37
4/26/2017,43.31,38.34,57.77,39.77
4/27/2017,43.36,38.39,57.98,39.43
4/28/2017,43.21,38.46,58.08,39.65
05/01/2017,43.39,37.83,57.87,38.9
05/02/2017,43.42,38.31,58.07,38.88
05/03/2017,43.31,38.28,58.08,37.85
05/04/2017,43.4,37.93,57.55,37.07
05/05/2017,43.77,37.96,57.55,37.19
05/08/2017,43.74,37.56,57.27,37.08
05/09/2017,43.65,37.47,57.08,36.7
05/10/2017,43.79,37.45,57.06,36.62
05/11/2017,43.62,37.47,57.19,36.9
05/12/2017,43.5,38.04,57.88,37.14
5/15/2017,43.91,37.75,57.65,37.33
5/16/2017,43.86,38.06,57.82,37.66
5/17/2017,42.32,39.35,58.72,39
5/18/2017,42.62,39.35,58.67,38.38
5/19/2017,43.19,39.49,58.58,38.69
5/22/2017,43.61,39.24,58.48,39.08
5/23/2017,43.8,38.74,58.33,38.48
5/24/2017,44,39.1,58.53,38.88
5/25/2017,44.39,39.15,58.5,38.74
5/26/2017,44.41,39.3,58.56,39.43
5/30/2017,44.33,39.55,58.77,39.19
